label,nodeid,r,x,y
"prophet, aisha, prayer, rakat, zuhr, fajr",1114,1115,17,1115
"abdullah, prophet, time, compulsori, maghrib, prayer, pray, thrice, al_muzni, tradit, peopl",1115,732,15,732
"uqba, marthad_bin_abdullah, apostl, prayer, life_tim, rakat, uqba_bin_amir, busi, al_yazani, maghrib, al_juhani, abi, allah, tamim",1116,637,18,637
"peopl, place, battl, itban_bin_malik, pray, hous, apostl, valley, mahmud, prayer, khazir, taslim, allah",1117,855,26,854
"hous, grave, apostl, prayer, narrated_ibn_umar, allah",1118,1544,22,1544
"prophet, al_masjid_ai_haram, jerusalem, word, apostl, huraira, al_aqsa, do, quzaa, said, journey, holi, battl, mosqu, twelv, allah, abu",1119,960,18,960
"al_masjid_ai_haram, thousand, apostl, prayer, huraira, mosqu, allah, abu",1120,1511,23,1510
"tawaf, apostl, ibrahim, duha, quba, maqam, rakat, saturday, _ibn_umar, walk, rear, kaba, prayer, nafi, forenoon, mecca, occas, mosqu, allah",1121,519,18,518
"prophet, quba, umar, ibn, abdullah, saturday, _ibn_umar, walk, abdullah_bin_dinar, mosqu",1122,564,18,564
"prophet, quba, narrat, nafi, rakat, walk, narrated_ibn_umar, ad, mosqu",1123,605,14,605
"hous, paradis, apostl, abdullah_bin_zaid, allah, garden, pulpit, al_mazini",1124,1035,21,1034
"prophet, hous, tank, huraira, fountain, paradis, al_kauthar, garden, pulpit, abu",1125,847,16,847
"prophet, ziyad, word, day, sun, do, al_khudri, id_ul_fitr, woman, id_ul_adha, fajr, dhi_mahram, slave, maula, prayer, qazaa, thing, said, journey, asr, husband, sunris, aqsa, mosqu, abu, fast, set",1126,410,15,410
"abdullah_bin_abba, hous, wife, lengthwis, apostl, kuraib, maula_ibn_abba, faith, face, raka, trace, rakat, muadh_dhin, surat_, ablut, mid_night, vers, witr, bed, hand, mother, prayer, believ, maimuna, water_con, allah, tainer, aunt, leather, night, sleep, imran, sat",1127,363,16,362
"abdullah, prophet, dur, matter, prayer, ethiopia, ruler, annajashi, greet",1128,669,18,669
prophet,1129,4423,27,4423
"prophet, vers, guard, prayer, companion, life_tim, need, zaid_bin_arqam",1130,789,17,789
"prophet, no, time, peopl, meantim, bilal, abu, amr_bin_auf, hadith, prayer, bakr, sahl_bin_sad, bani, row, iqama, allah, reconcili, tribe",1131,851,22,851
"prophet, alaina, apostl, ibadi_l_lahi, was_salawatu, ilaha, name, hu, assalamu, greet, anna, wa, abdullah_bin_masud, wa_ala, compliment, wa_rahmatu_l_lahi, la, at_tahiyyatu, alaika, __say, muhammadan, prayer, rasuluh, thing, as_salihin, abdu, wat_taiyibatu, illa_l_lah, peac, wa_barakatuhu, ashhadu, muhammad, allah",1132,425,18,424
"prophet, imam, hand, someth, prayer, huraira, sub, men, han, attent, clap, allah, women, abu",1133,1026,18,1026
"prophet, clap, men, sahl_bin_sad, sub, allah, han, women",1134,1155,19,1155
"prophet, hous, apostl, aisha, toward, peopl, prayer, bakr, attent, morn, anas_bin_malik, curtain, monday, row, allah, muslim, abu",1135,1134,22,1133
"woman, apostl, huraira, do, child, hermitag, mother, prayer, son, juraij, abu, allah",1136,1052,29,1052
"prophet, muaiqib, man, earth",1137,1374,19,1374
"prophet, anas_bin_malik, cloth, heat, someon, prostrat, earth, face",1138,683,14,683
"prophet, qibla, leg, aisha, whenev",1139,1088,17,1088
"prophet, front, hand, pillar, prayer, huraira, till, doubt, bestow, head, mosqu, return, kingdom, statement, morn, lord, allah, solomon, satan, abu",1140,768,19,768
"remark, river, al_ahwaz, alharuriya, apostl, doubt, shuba, al_azraq_bin_qai, abu, khawarij, hand, sub_narr, prayer, rein, bank, anim, man, tribe, al_aslaml, sheik, allah, barza",1141,585,18,585
"grape, eclips, apostl, while, lunar, doubt, head, sura, sun, place, aisha, pray, hell, everyth, paradis, sign, bunch, prayer, therefrom, amr_bin_luhai, raka, allah",1142,506,16,506
"prophet, front, hand, anyon, peopl, prayer, qibla, mosqu, left, everyon, wall, spu, _ibn_umar, ibnumar, tum, allah, sputum",1143,744,14,743
"ana, prophet, front, prayer, side, foot, lord, anyon",1144,837,18,837
"prophet, neck, short, peopl, prayer, men, sahl_bin_sad, head, waist_sheet, women, sheet",1145,718,15,717
"prophet, narratedabdullah, matter, prayer, ethiopia, greet",1146,939,21,938
"prophet, time, apostl, greet, job, qibla, allah, jabir_bin_abdullah",1147,1589,26,1588
"prophet, apostl, time, peopl, companion, news, quba, al, bilal, takbir, amr_bin_auf, prayer, sahl_bin_sad, reconcili, bani, row, iqama, abu, allah, bakr, differ",1148,884,22,883
"prophet, hip, prayer, huraira, hand, abu",1149,1547,19,1547
"huraira, hip, hand, abu",1150,951,17,951
"prophet, sign, speed, peopl, prayer, piec, hous, wive, astonish, uqba_bin_al_harith, asr, gold, night, taslim",1151,595,15,595
"muadh_dhin, apostl, huraira, till, salama, adhan, wind, rakat, abu, prayer, thing, allah, anyon, number, person, heel, salama_bin_abdur_rahman, finish, iqama, prostrat, satan, sahu",1152,631,17,630
"prophet, narrat, apostl, prayer, huraira, did, lifetim, yesterday, recit, sura, man, abu, allah, isha, peopl",1153,1278,20,1278
"taslim, apostl, prayer, rakat, raka, takbir, allah, abdullah_bin_buhaina, peopl",1154,1145,22,1145
"prostrat, apostl, prayer, rakat, raka, zuhr, allah, tasllm, abdullah_bin_buhaina, sahu",1155,895,18,895
"abdullah, apostl, prayer, rakat, increas, zuhr, sahu, allah, taslim, somebodi",1156,933,18,933
"prophet, apostl, prayer, huraira, prostrat, companion, sad, dhul_yadain, ursa_bin_az_zubair, asr, maghrib, rakat, zuhr, sahu, allah, taslim, abu",1157,1013,20,1013
"ha, apostl, prayer, huraira, dhulyadain, prostrat, dhul_yadain, takbir, rakat, abu, allah, truth, taslim, peopl",1158,979,21,979
"muhammad, tashah_hud, salama_bin_alqama, bin, sirin, huraira, abu, prostrat, narrat, sahu",1159,388,15,388
"prophet, muhammad, even, takbir, huraira, dhulyadain, head, umar, rakat, respect, amongst, hurri, abu, front, hand, sub_narr, prayer, bakr, wood, mosqu, asr, tashm, price, man, bit, prostrat, sahu",1160,471,18,471
"al_asdi, tashah_hud, abdul, apostl, prayer, taslim, prostrat, alli, bani, abdullah_bin_buhaina, muttalib, raka, zuhr, peopl, allah, sat, takbir",1161,624,18,624
"call, apostl, prayer, huraira, thought, rememb, adhan, wind, person, heel, tri, iqama, sahu, allah, satan, abu",1162,792,16,792
"rakat, apostl, prayer, huraira, sahu, prostrat, doubt, abu, allah, satan, anyon",1163,1130,19,1130
"prophet, hous, apostl, aisha, peopl, kuraib, girl, al_miswar_bin_makhrama, _ibn_abba, messag, umar_bin_al_khattab, zuhr, abdur_rahman_bin_azhar, rakat, ansari, women, bani, hand, by_ibn_abba, prayer, time, stand, abdul_qai, offer, salama, haram, asr, go, um, tribe, statement, umaiya, allah, question, behalf",1164,536,22,536
"apostl, time, peopl, companion, news, subhan_allah, bilal, takbir, as_saidi, prayer, allah, sahl_bin_sad, reconcili, baniamr_bin_auf, row, iqama, abu, bakr, differ",1165,729,22,729
"sign, aisha, matter, peopl, pray, sky, head, asma",1166,373,17,373
"prophet, hous, wife, ill, hadith, apostl, prayer, imam, bow, complet, head, verdict, no, vol, allah, peopl",1167,1005,17,1005
"paradis, theft, apostl, way, news, intercours, follow, dhar, adulteri, none, lord, abu, someon, allah, tide",1168,739,24,738
"abdullah, paradis, apostl, fire, allah, other, anyon",1169,1237,23,1237
"utensil, oath, apostl, cloth, qissi, prais, greet, sneezer, sick, silver, ring, may, dish, thing, process, istabraq, al_bara_bin_azib, silk, invit, allah",1170,432,16,431
"muslim, sneezer, no, hadith, right, huraira, invit, process, abu, allah, apostl",1171,1074,19,1074
"prophet, muhammad, apostl, aisha, peopl, till, blanket, face, as_sunh, hors, death, abu, place, umar, bakr, salama, mosqu, allah, anybodi",1172,1007,26,1007
"prophet, mazun, apostl, as_saib, ansari, abu, may, kharija_bin_zaid_bin_thabit, emigr, pledg, lot, al_ala, um, allegi, uthman_bin_, woman, share, allah",1173,842,25,842
al_laith,1174,12,9,8
"prophet, peopl, wept, angel, wing, fatima, jabir_bin_abdullah, aunt, field, face, father, sheet",1175,578,18,577
"day, apostl, peopl, prayer, musalla, an_najashi, huraira, funer, place, row, takbir, death, allah, abu",1176,1064,19,1064
"prophet, chief, time, apostl, hand, khalid_bin_al_walid, eye, abdullah_bin_rawaha, tear, victori, flag, zaid, anas_bin_malik, allah, jafar",1177,909,22,908
"prophet, narrated_ibn_abba, grave, apostl, troubl, person, morn, death, night, allah, peopl",1178,1381,20,1381
"ana, prophet, puberti, allah, merci, paradis, children, age, muslim",1179,1113,19,1113
"prophet, day, huraira, pleas, said, woman, hell, abu, children, women, fire",1180,886,21,886
"prophet, muslim, bridg, oath, everyon, lake, huraira, allah, fire, children, abu",1181,1160,27,1160
"prophet, grave, fear, anas_bin_malik, woman, allah",1182,1564,20,1564
"end, time, daughter, apostl, thrice, waist_sheet, sidr, um, camphor, water, atiyya, al_ansariya, allah, bodi, wash",1183,599,17,598
"muhammad, time, apostl, side, waist_sheet, aiyub, water, atiyya, sidr, ablut, end, narrat, daughter, hafsa, part, number, um, camphor, bath, allah, wash",1184,476,18,476
"side, um, apostl, start, bath, daughter, atiyya, allah, part, ablut",1185,844,18,844
"prophet, side, daughter, um, atiyya, bath, part, ablut",1186,672,16,672
"prophet, time, daughter, wash, um, atiyya, waist_sheet",1187,757,17,757
"prophet, muhammad, time, daughter, wash, narrat, shroud, waist_sheet, sidr, um, camphor, water, atiyya, hafsa",1188,442,19,442
"allah, braid, um, apostl, sirin, hair, hafsa, bint, atiyya, daughter",1189,820,23,819
"prophet, time, daughter, wash, pledg, um, water, son, sidr, camphor, woman, allegi, basra, bath, ansari, atiyya, narrated_ibn_sirin",1190,382,18,381
"prophet, sufyan, braid, front, um, waki, daughter, hair, atiyya, head, side",1191,505,18,505
"prophet, time, daughter, wash, hair, waist_sheet, girl, sidr, number, wa, braid, um, camphor, atiyya, ter",1192,383,14,383
"cloth, aisha, apostl, cotton, piec, yemenit, shirt, allah, suhuliya, turban",1193,870,17,870
"neck, prophet, narrated_ibn_abba, wash, resurrect, perfum, cloth, head, day, sidr, labbaik, arafat, mount, pilgrim, man, water, piec",1194,476,15,475
"neck, day, narrated_ibn_abba, apostl, cloth, perfum, piec, head, sidr, labbaik, arafat, mount, man, water, hajj, allah, resurrect, wash",1195,628,18,627
"prophet, day, narrated_ibn_abba, wash, muhrim, resurrect, cloth, head, camel, sidr, piec, fume, man, water, allah, labbaik",1196,774,18,773
"prophet, day, narrated_ibn_abba, wash, resurrect, perfum, cloth, head, sidr, labbaik, arafat, mount, man, water, piec",1197,534,16,533
"prophet, hold, apostl, muhammad, ask, son, forgiv, hypocrit, hand, al, lah, choic, chief, umar, prayer, pleas, narrated_ibn_umar, funer, abdullah_bin_ubai, shirt, ha, allah",1198,691,21,691
"prophet, abdullah_bin_ubai, shirt, grave, jabir, bodi, saliva",1199,689,16,689
"prophet, cloth, aisha, suhul, turban, cotton, piec, shirt, type",1200,628,13,628
"cloth, aisha, apostl, piec, shirt, allah, turban",1201,1239,19,1239
"cloth, aisha, apostl, piec, shirt, suhul, allah, turban",1202,1084,18,1084
"front, deed, burd, umar, squar, doubt, meal, world, person, mustab_bin_, reward, abdur_rahman_bin_auf, noth, hamza, dress, father",1203,143,17,142
"burd, umar, food, ibrahim, reward, thing, leg, meal, head, wealth, world, mustab_bin_, deed, abdur_rahman_bin_auf, hamza, doubt",1204,125,17,124
"prophet, day, mustab_bin_umar, shrub, feet, head, burd, caus, anyth, battl, kind, vice, versa, khabbab, reward, uhud, idhkhir, world, other, noth, mustab, _bin_umar, allah",1205,495,15,495
"prophet, man, time, cloak, repli, hand, woven, burda, sheet, border, woman, sahl, waist_sheet, allah, need",1206,748,18,748
"atiyya, um, process",1207,86,20,83
"day, muhammad_bin_sirin, perfum, um, atiyya, husband, son, bodi",1208,213,17,212
"prophet, sufyan, forearm, day, habiba, doubt, sham, abi, cheek, woman, death, need, zainab, bint, abu, month, perfum, liev, salama, news, person, um, husband, allah",1209,588,19,588
"prophet, day, wife, apostl, month, habiba, allah, abi, salama, husband, brother, person, um, jahsh, woman, scent, zainab, bint, need",1210,792,19,792
"prophet, hous, grave, mine, anas_bin_malik, calam, woman, allah, guard",1211,1085,17,1085
"prophet, breath, apostl, sad_bin_ubada, sad, chest, usama, world, usama_bin_zaid, child, muadh_bin_jab, zaid_bin_thabit, daughter, everyth, hope, reward, men, him, ubai_bin_kab, messeng, term, sent, allah",1212,577,20,576
"prophet, side, wife, night, daughter, process, eye, anyon, relat, anas_bin_malik, grave, tear, talha, abu",1213,619,16,619
"prophet, kind, mulaika, till, brother, faith, suhaib, travel, are, amr_bin_uthman, tree, al_baida, process, mecca, shade, abdullah_bin_umar, friend, chief, aisha, apostl, and_ibn_abba, _ibn_abba, weep, abba, daughter, samura, abdullah_bin_ubaidullah_bin_abi, may, umar, believ, journey, uthman, person, man, go, cri, depart, allah, _ibn_, rel",1214,430,21,430
"prophet, jewess, wife, aisha, grave, apostl, allah, rel",1215,1656,22,1656
"prophet, dont, umar, burda, suhaib, weep, brother, live, father, abu",1216,775,23,775
"prophet, lie, whosoev, hell_fir, thing, seat, al_mughira, wail, anyon",1217,567,17,567
"prophet, grave, narrated_ibn_umar, father",1218,1286,15,1286
"one, shuba, wail, live",1219,68,13,67
"day, woman, time, apostl, weep, jabir_bin_abdullah, voic, sister, peopl, front, daughter, amr, uhud, angel, wing, sheet, battl, allah, father, order",1220,619,20,618
"abdullah, prophet, cheek, way, day, cloth, ignor, tradit, tear",1221,682,16,681
"prophet, state, ill, emigr, apostl, mistak, name, companion, half, amir_bin_sad, hajj, fact, aisha, renegad, youd, chariti, sake, bint, other, father, peopl, narrat, year, one_third, daughter, two_third, complet, reward, life, mouth, wife, waqqa, deed, properti, inheritor, amir_bin_sad_bin_abi, mecca, health, sad_bin_abi, allah, sad_bin_khaula",1222,442,20,442
"abdullah, prophet, cheek, day, cloth, ignor, tradit",1223,851,16,851
"abdullah, prophet, cheek, day, cloth, ignor, tradit",1224,851,16,851
"prophet, may, aisha, apostl, mouth, news, allah, chink, time, man, door, cri, death, dust, of_ibn_haritha, women, jafar",1225,887,20,887
"ana, month, apostl, quran, recit, qunut, allah, day",1226,1172,21,1172
"hous, boy, wife, time, apostl, peac, child, bless, abu, home, may, son, talha, morn, anas_bin_malik, night, allah, prophet",1227,953,21,953
"ana, prophet, calam, patienc, stroke",1228,976,12,976
"prophet, hous, time, apostl, ibrahim, abdur, rahman_bin_auf, tear, breath, saif, wet_nurs, abu, blacksmith, allah, son, eye, husband, anas_bin_malik",1229,886,19,886
"prophet, apostl, abdur, sad_bin_ubada, tear, abdullah_bin_masud, weep, wept, peopl, heart, grief, sad_bin_abi, merci, waqqa, health, abdullah_bin_umar, tongu, household, allah, rahman_bin_auf",1230,700,18,700
"prophet, aisha, apostl, news, doubt, chink, abdullah_bin_rawaha, time, zaid_bin_haritha, im, women, jafar, may, martyrdom, sub_narr, muhammad_bin_haushab, man, door, cri, allah, dust",1231,716,20,716
"prophet, wife, time, daughter, pledg, abi, muadh, sulaim, um, allegi, sabra, atiyya, condit, women, al_ala",1232,411,20,411
"amir_bin_rabia, prophet, process, coffin, al_humaidi",1233,896,12,896
"amir_bin_rabia, prophet, process, stand, coffin",1234,901,14,901
"prophet, hold, hand, al_maqburi, huraira, process, marwan, said, doubt, allah, coffin, father, abu",1235,1018,20,1018
"prophet, process, abu, coffin, said, al_khudri",1236,1177,18,1177
"front, prophet, jabir_bin_abdullah, process, jew, allah, apostl",1237,1771,24,1771
"rahman_bin_abi, front, jew, qais_bin_sad, non_believ, abdur, process, land, citi, live, soul, al_qadisiya, laila, protect, inhabit, prophet, coffin, muslim, sahl_bin_hunaif",1238,286,15,286
"everyth, shoulder, voic, man, apostl, funer, men, abu, allah, said, al_khudri",1239,1042,21,1041
"prophet, neck, huraira, thing, bodi, hurri, abu",1240,1171,17,1171
"prophet, neck, mankind, everyth, said, shoulder, voic, abu, men, funer, al_khudri",1241,686,16,686
"jabir_bin_abdullah, prayer, an_najashi, row, allah, apostl",1242,1462,21,1462
"prophet, takbir, peopl, prayer, huraira, death, companion, annajashi, row, abu",1243,1084,19,1084
"prophet, grave, shabi, amr, ash, ibn, man, row, abba, ash_shaibani, abu, peopl, takbir",1244,725,21,725
"prophet, prayer, today, man, jabir_bin_abdullah, najashi, ethiopia, row, jabir",1245,760,18,759
"prophet, narrated_ibn_abba, grave, apostl, abba, yesterday, prayer, night, allah, ibn, peopl",1246,1406,24,1406
"prophet, narrat, grave, amr, prayer, ash_shaibani, abba, abu, ash_shabi, ibn, somebodi",1247,756,20,756
"qirat, talk, aisha, apostl, huraira, reward, process, nafi, _ibn_umar, allah, narrat, abu",1248,1019,20,1019
"qirat, mountain, apostl, prayer, huraira, reward, till, process, allah, abu",1249,1243,23,1243
"boy, prophet, time, grave, apostl, prayer, peopl, amir, yesterday, allah, _ibn_abba",1250,1381,22,1380
"prophet, day, an_najash, apostl, king, huraira, ask, ethiopia, forgiv, musalla, brother, news, row, takbir, death, allah, abu",1251,987,21,987
"prophet, place, woman, adulteri, abdullah_bin_umar, intercours, death, man, jew, prayer, mosqu",1252,726,17,726
"prophet, place, aisha, ill, urwa, grave, jew, allah, christian",1253,1144,24,1144
"prophet, child_birth, woman, middl, prayer, samura_bin_jundab, coffin",1254,824,13,824
"prophet, child_birth, woman, middl, prayer, samura_bin_jundab, coffin",1255,824,13,824
"day, an_najash, apostl, prayer, huraira, news, musalla, an_najashi, row, death, abu, allah, takbir",1256,1011,19,1011
"prophet, an_najash, jabir, prayer, as_hama, takbir",1257,944,16,944
"prophet, muhammad, tradit, prayer, al_fatiha, talha_bin_abdullah_bin_auf, recit, behind_ibn_abba",1258,737,14,737
"prophet, amr, man, sulaiman, prayer, ash_shaibani, grave, abba, ash_shabi, ibn, abu",1259,812,21,812
"prophet, day, apostl, grave, peopl, huraira, son, mosqu, femal, person, insignific, stori, allah, male, abu",1260,1249,20,1249
"ana, prophet, hell_fir, grave, apostl, return, muhammad, hypocrit, place, step, peopl, paradis, slave, guidanc, quran, foot, companion, angel, person, man, allah",1261,831,20,831
"apostl, huraira, land, year, back, death, lord, abu, slave, mose, hand, sacr, hair, eye, angel, number, go, ox, allah",1262,683,26,682
"prophet, narrated_ibn_abba, man, prayer, companion, night",1263,1270,21,1270
"prophet, church, man, aisha, grave, peopl, al, salma, habiba, ethiopia, head, wive, place, mariya, pictur, beauti, worship, um, sight",1264,477,17,477
"ana, wife, night, daughter, apostl, allah, process, eye, anyon, relat, grave, tear, amongst, talha, abu",1265,780,19,780
"prophet, day, martyr, grave, prayer, resurrect, quran, cloth, uhud, bodi, which, blood, jabir_bin_abdullah, knew, wit, piec",1266,492,14,492
"prophet, day, wit, way, prayer, uhud, treasur, uqba_bin_amir, martyr, kauthar, fount, key, predecessor, allah, earth, pulpit",1267,710,16,710
"prophet, uhud, martyr, grave, jabir_bin_abdullah",1268,964,16,964
"prophet, day, blood, battl, jabir, buri, uhud, martyr",1269,737,15,737
"martyr, grave, apostl, prayer, quran, cloth, uhud, companion, bodi, which, blood, jabir_bin_abdullah, wit, allah, piec, jabir",1270,641,17,640
"prophet, day, grave, huraira, shrub, hour, and_ibn_abba, place, goldsmith, al_abba, abu, hous, narrated_ibn_abba, tree, game, sanctuari, thing, al_idhkhir, mecca, person, none, ex, allah, thorni",1271,657,18,657
"prophet, sufyan, time, grave, apostl, cloth, hypocrit, abba, shirt, jabir_bin_abdullah, al, death, abu, saliva, abdullah_bin_tub, pit, son, abdullah_bin_ubai, harun, knee, allah, al_abba",1272,721,20,721
"prophet, debt, time, grave, apostl, companion, day, battl, burial, condit, dearer, sister, father, night, month, jabir, uhud, ear, anyon, morn, martyr, allah, chang, soul",1273,659,17,658
"grave, man, jabir, father",1274,370,17,370
"prophet, day, martyr, grave, quran, which, uhud, blood, resurrect, lahd, jabir_bin_abdullah, wit, ledg, bodi",1275,468,14,468
"prophet, time, peopl, illiter, group, hillock, boy, hand, messeng, puberti, someth, apostl, mughala, umar, narrated_ibn_umar, _ibn_saiyad, bani, then_ibn_saiyad, allah",1276,832,28,832
"ana, boy, hell_fir, father, islam, abu_l_qasim, who, head, prophet, allah",1277,1015,19,1014
"narrated_ibn_abba, children, mother, women, er",1278,182,16,182
"muslim, prophet, cri, prostitut, huraira, faith, christian, deliveri, vers, child, deliv, death, babi, miscarriag, father, abu, judaism, anim, parent, mother, prayer, son, alon, magain, holi, none, islam, narrated_ibn_shihab, allah, pure, natur",1279,506,17,505
"apostl, huraira, faith, christian, vers, child, deliv, religion, babi, parent, abu, magain, judaism, alon, anim, holi, none, islam, allah, pure, natur",1280,579,18,578
"time, apostl, muttalib, religion, umaiya_bin_al_mughira, jahl_bin_hisham, abdul, death, talib, father, abu, abdullah_bin_abi, jahl, said_bin_al_musaiyab, statement, right, none, allah",1281,648,22,647
"prophet, narrated_ibn_abba, grave, peopl, leaf, piec, thing, allah, urin, person, split, punish, tree, calumni, enmiti, friend, apostl",1282,890,15,890
"prophet, whoever, head, place, vers, hand, stick, chariti, hell, ali, apostl, paradis, ground, baqi_i_gharqad, deed, process, reward, person, man, wretch, none, __, allah, soul",1283,693,18,693
"prophet, wound, jew, islam, piec, thing, iron, paradis, allah, religion, man, whoever, hell, fire, suicid, thabit_bin_ad_dahhak, commit",1284,663,18,663
"prophet, hell, hell_fir, huraira, suicid, fire, abu",1285,1152,20,1152
"apostl, surat, vers, umar_bin_al_khattab, are, for_ibn_ubai, choic, umar, prayer, abdullah_bin_ubai_bin_salul, occas, bara, allah, had",1286,683,22,683
"prophet, paradis, umar_bin_al_khattab, peopl, anas_bin_malik, hell, process, allah, apostl",1287,1584,25,1583
"chief, epidem, umar, peopl, believ, allah, process, pieti, al_aswad, person, umar_bin_al_khattab, muslim, medina, prophet, abu",1288,964,24,964
"prophet, muhammad, grave, apostl, firm, believ, faith, angel, statement, right, none, word, allah, al_bara_bin_azib",1289,958,21,958
"shuba, grave, firm, punish, abov, allah, same",1290,640,14,640
"prophet, pagan, well, peopl, lord, battl, badr, narrated_ibn_umar, bodi, somebodi",1291,721,19,721
"prophet, deaf, aisha, disbeliev, allah, truth, hear",1292,1385,20,1385
"jewess, aisha, grave, apostl, may, punish, masruq, allah",1293,1091,21,1091
"muslim, sermon, grave, apostl, trial, bint, bakr, abi, allah, asma, peopl",1294,915,24,915
"return, ana, grave, apostl, companion, hypocrit, place, jinn, hell, narrat, paradis, slave, non_believ, footstep, qatada, angel, believ, man, anas_bin_malik, muhammad, allah, fire",1295,539,20,539
"prophet, sunset, grave, voic, jew, abi, aiyub",1296,695,17,694
"prophet, daughter, grave, punish, allah, khalid_bin_sa, seek, musa_bin_uqba, id_bin_al_asi, refug",1297,906,15,906
"wa, apostl, huraira, adhabi_l_qabr, wa_lmamat, hell, punish, fitnati_l_masih, allahumma, al_masih, abu, ini, afflict, min, adhabi_nnar, ad_dajj, fitnati_l_mahya, audhu, allah",1298,590,15,590
"prophet, may, narrated_ibn_abba, grave, ibn, leaf, piec, thing, urin, person, sin, abba, punish, calumni, date_palm",1299,433,15,433
"hell_fir, paradis, apostl, even, die, day, till, anyon, place, resurrect, there_in, morn, abdullah_bin_umar, allah, peopl",1300,780,18,780
"shoulder, be, burial, apostl, everyth, funer, al_khudri, person, said, voic, abu, allah, peopl",1301,944,19,944
"muslim, paradis, puberti, apostl, anas_bin_malik, allah, merci, children, age",1302,973,19,973
"prophet, paradis, apostl, ibrahim, son, allah, wet_nurs, al_bara",1303,1567,23,1567
"prophet, deed, pagan, narrated_ibn_abba, apostl, mushrikeen, sort, allah, children",1304,1418,19,1418
"prophet, deed, pagan, mushrakeen, offspr, huraira, sort, allah, abu",1305,1364,18,1363
"prophet, judaism, deliv, islam, huraira, faith, christian, alon, anim, magian, child, none, babi, parent, allah, abu",1306,797,18,796
"prophet, hold, peopl, till, meantim, rock, women, blood, maxim, shaa_llah, fire, hous, day, mean, back, samura_bin_jundab, river, side, dream, sacr, man, night, jawbon, lie, time, ma, companion, omen, head, cheek, front, hand, tree, hole, iron, men, morn, mouth, hook, arab, land, stone, jerusalem, caught, oper, prayer, piec, allah, posit, anyon, person, stand, children",1307,359,24,359
"prophet, cotton, aisha, wash, day, cloth, hisham, sahuliya, ill, stain, monday, father, die, saffron, tuesday, today, turban, piec, bakr, tonight, shirt, morn, mine, garment, abu",1308,400,15,400
"prophet, reward, aisha, man, mother, alm, behalf",1309,949,19,949
"hous, day, today, aisha, apostl, arm, chest, turn, soul, sick, allah, tomorrow, lap",1310,764,21,764
"worship, prophet, aisha, grave, apostl, peopl, jew, christian, place, ill, allah, case",1311,1256,21,1256
"prophet, sufyan, bakr_bin_aiyash, at_tammar, grave, convex, abu",1312,977,17,976
"prophet, umar, grave, peopl, companion, foot, wall, al_baqi, do, wive, malik, aisha, caliph, urwa, no_on, allah, al_walid_bin_abdul",1313,726,23,726
"muslim, messag, peopl, companion, news, name, noth, greet, place, time, caliph, ali, tide, uthman, today, grave_yard, abdullah_bin_umar, idea, myself, sad_bin_abi, al_audi, az_zubair, aisha, apostl, ansar, umar_bin_al_khattab, death, _ibn_umar, talha, chief, be, umar, mother, believ, waqqa, amr_bin_maimun, abdur_rahman_bin_auf, person, man, islam, allah, permiss",1314,380,23,379
"prophet, dont, aisha, result",1315,1361,23,1361
"prophet, day, inspir, narrated_ibn_abba, lahab, divin, abi, hand, abu",1316,981,20,981
"prophet, day, narrated_ibn_abba, apostl, thi, prayer, night, muadh, right, none, zakat, invit, yemen, allah, peopl",1317,1121,20,1120
"prophet, paradis, no, matter, peopl, offer, deed, aiyub, someth, partner, relat, tell, order, zakat, kith, man, hadith, allah, abu",1318,796,19,796
"prophet, worship, bedouin, huraira, month, ra, abu, paradis, hand, compulsori, prayer, deed, offer, madan, him, whose, life, none, zakat, allah",1319,754,18,754
"prophet, zura, abu",1320,2222,22,2222
"prophet, month, someth, apostl, naqir, qai, hand, caus, knot, mudar, confess, abdul, muzaffat, other, peopl, deleg, narrated_ibn_abba, sacr, thing, right, dubba, deed, stand, order, none, zakat, infidel, rabia, allah, tribe",1321,561,18,561
"apostl, huraira, arab, caliph, peopl, abu, umar, bakr, properti, zakat, allah, right",1322,1120,29,1120
"prophet, day, state, messag, huraira, feet, hoov, resurrect, water, help, abu, front, health, horn, pleas, camel, world, anyon, person, sheep, right, muhammad, zakat, neck, owner, interced",1323,443,18,442
"neck, day, holi, prophet, apostl, treasur, huraira, allah, vers, eye, let, wealth, resurrect, cheek, snake, zakat, __, end, spot, male, abu",1324,826,17,826
"apostl, uqiya, properti, camel, said, sa, wasq, zakat, sa=3, silver, allah, equal, app, abu",1325,754,21,753
"peopl, quarrel, mean, sham, abu, place, scriptur, gold, zaid_bin_wahab, medina, silver, muawiya, way, quran, ar_rabadha, vers, uthman, dhar, complaint, chanc, allah",1326,475,22,474
"hell_fir, bone, breast, pillar, al_ahnaf_bin_qai, side, cloth, dhar, stone, day, anyth, majest, caus, someth, sun, peopl, front, shoulder, mountain, hair, uhud, wealth, nippl, apostl, person, man, inform, appear, abu, allah, friend, prophet, dinar",1327,605,19,605
"prophet, knowledg, narrated_ibn_masud, way, other, wisdom, decis, envi, allah, wealth, person",1328,884,19,884
"hand, apostl, give, huraira, reward, money, anyon, person, right, hors, chariti, babi, abu, allah, ar, __allah, date_fruit",1329,751,16,750
"prophet, haritha_bin_wahab, time, peopl, to_day, chariti, anybodi, yesterday, need, object, person",1330,654,14,654
"prophet, day, huraira, increas, hour, wealth, one, person, zakat, judgment, need, abu",1331,808,16,807
