cluster,global_distance,global_nimber_of_blocks,global_tfidf,local_distance,radious,word
1,4242,2,0.0021077134,50,4242.294662090318,abdullah_bin_musud
1,4243,1,0.0011092481,0,4243.0,subai
1,4241,3,0.0030436677,66,4241.513527032538,ad_damri
1,4243,1,0.0011092481,0,4243.0,ener
1,4237,7,0.0073589092,14,4237.02312950968,needi
1,4229,15,0.0132027425,60,4229.425611120262,oil
1,4243,1,0.0011092481,0,4243.0,clean
1,4243,1,0.0011092481,0,4243.0,nar
1,4243,1,0.0011092481,0,4243.0,cush
1,4242,2,0.0021077134,0,4242.0,skill
1,4238,6,0.0056286338,16,4238.030202818286,harra
1,4240,4,0.0059044308,50,4240.294801072208,with_ibn_abba
1,4239,5,0.0047958224,60,4239.424607184329,amr_bin_al_harith
1,4242,2,0.0021077134,0,4242.0,taxat
1,4233,11,0.0112381391,36,4233.153080151957,approach
1,4235,9,0.0080044160,22,4235.057142471634,anza
1,4232,12,0.0119495242,41,4232.19860120009,walk
1,4240,4,0.0039362872,25,4240.073702189621,virtu
1,4242,2,0.0021077134,0,4242.0,chat
1,4159,85,0.0506109524,20,4159.0480882048,ansari
1,4243,1,0.0011092481,0,4243.0,cer
1,4237,7,0.0064390455,28,4237.09251728116,unit
1,4243,1,0.0022184962,0,4243.0,retreat
1,4243,1,0.0011092481,0,4243.0,khazir
1,4239,5,0.0057549869,20,4239.047180676337,innaka
1,4243,1,0.0011092481,0,4243.0,assalam
1,4217,27,0.0247077984,11,4217.014346667556,partner
1,4243,1,0.0011092481,0,4243.0,surnam
1,4243,1,0.0011092481,0,4243.0,azd
1,4243,1,0.0011092481,0,4243.0,shanka
1,4238,6,0.0065667395,0,4238.0,exist
1,4243,1,0.0011092481,0,4243.0,al_walid_bin_al_wahd
1,4196,48,0.0450421516,43,4196.220323100301,owner
1,4241,3,0.0050727794,33,4241.128387587435,dialect
1,4242,2,0.0021077134,0,4242.0,al_masjid_ul_haram
1,4235,9,0.0080044160,44,4235.228565260675,al_kauthar
1,4240,4,0.0039362872,75,4240.663273592942,citron
1,4242,2,0.0021077134,0,4242.0,salit
1,4243,1,0.0011092481,0,4243.0,nasibin
1,4243,1,0.0011092481,0,4243.0,khutba_sermon
1,4243,1,0.0011092481,0,4243.0,khawari
1,4209,35,0.0378625954,25,4209.0742450092275,donkey
1,4231,13,0.0109643742,84,4231.833763275679,uqba_bin_al_harith
1,4241,3,0.0030436677,0,4241.0,shihab
1,4243,1,0.0011092481,0,4243.0,bjalla
1,4242,2,0.0021077134,0,4242.0,abduka
1,1012,3232,0.3236574111,0,1012.0,apostl
1,4243,1,0.0011092481,0,4243.0,tape
1,4243,1,0.0011092481,0,4243.0,assur
1,4243,1,0.0011092481,0,4243.0,indika
1,4243,1,0.0011092481,0,4243.0,bir_mauna
1,4243,1,0.0011092481,0,4243.0,hayat
1,4243,1,0.0011092481,0,4243.0,divert
1,4241,3,0.0030436677,0,4241.0,hudhail
1,4235,9,0.0088937955,33,4235.128569476965,soup
1,4232,12,0.0196313612,25,4232.073841510803,tooth
1,4194,50,0.0500104283,22,4194.057701081377,valley
1,4243,1,0.0011092481,0,4243.0,aiylub
