global_cluster,global_docs,global_local,global_tf_idf,local_avg,signature,word
2,935,4.656,1,26.56,316,man
2,18,2.678,1,6.78,830,forehead
2,47,3.58,1,15.8,1870,abdullah_bin_masud
2,138,3.384,1,13.84,532,earth
2,553,3.724,1,17.24,411,hand
2,7,2.607,1,6.07,1057,non_believ
2,4423,4.721,1,27.21,770,prophet
2,277,4.653,1,26.53,505,mecca
2,1,2.95,1,9.5,1283,suratan_najm
2,86,3.71,1,17.1,553,stone
