cluster,distance,global_tfidf,number_of_docs,word
1,131,0.2449620133,885,aisha
1,206,0.5362189255,1055,prayer
1,744,0.2549382413,4423,prophet
1,113,0.2390274130,504,time
1,116,0.2359468561,421,night
1,942,0.3594892599,942,day
1,117,0.1229006006,213,battl
1,342,0.5430508541,1442,peopl
1,215,0.4734178618,935,man
1,761,0.2663204706,4244,allah
1,198,0.0955451759,199,resurrect
1,117,0.2422971363,515,person
1,164,0.2609835826,1007,huraira
1,417,0.3360642266,2241,abu
1,573,0.3236574111,3232,apostl
